sample_id,method,w_legitimacy,w_engagement,w_robustness,w_transparency,utility
0,RANK,0.08219682916029292,0.5272517827092505,0.2306407001278181,0.1599106880026384,0.7608676027427215
0,PERCENT,0.08219682916029292,0.5272517827092505,0.2306407001278181,0.1599106880026384,0.8674807149212557
0,SAVE,0.08219682916029292,0.5272517827092505,0.2306407001278181,0.1599106880026384,0.7157171914986366
0,TWO_KEY,0.08219682916029292,0.5272517827092505,0.2306407001278181,0.1599106880026384,0.834993515493583
1,RANK,0.07037527205491467,0.07036341516702593,0.024826368968115412,0.8344349438099441,0.9408154199986739
1,PERCENT,0.07037527205491467,0.07036341516702593,0.024826368968115412,0.8344349438099441,0.9492322699639106
1,SAVE,0.07037527205491467,0.07036341516702593,0.024826368968115412,0.8344349438099441,0.6957903466012167
1,TWO_KEY,0.07037527205491467,0.07036341516702593,0.024826368968115412,0.8344349438099441,0.6669866843175928
2,RANK,0.16196167822975657,0.21697225381556048,0.0036652771640306166,0.6174007907906524,0.8684406712345447
2,PERCENT,0.16196167822975657,0.21697225381556048,0.0036652771640306166,0.6174007907906524,0.9025799114030915
2,SAVE,0.16196167822975657,0.21697225381556048,0.0036652771640306166,0.6174007907906524,0.6883674668644142
2,TWO_KEY,0.16196167822975657,0.21697225381556048,0.0036652771640306166,0.6174007907906524,0.6869868954563456
3,RANK,0.7356382667929998,0.09828977112265071,0.08263810012252165,0.08343386196182791,0.5881295601822341
3,PERCENT,0.7356382667929998,0.09828977112265071,0.08263810012252165,0.08343386196182791,0.533549706558923
3,SAVE,0.7356382667929998,0.09828977112265071,0.08263810012252165,0.08343386196182791,0.6328662447440362
3,TWO_KEY,0.7356382667929998,0.09828977112265071,0.08263810012252165,0.08343386196182791,0.6232389943389272
4,RANK,0.17989795783050352,0.36893100380853605,0.2804629012155211,0.17070813714543925,0.733486933667727
4,PERCENT,0.17989795783050352,0.36893100380853605,0.2804629012155211,0.17070813714543925,0.791424201956249
4,SAVE,0.17989795783050352,0.36893100380853605,0.2804629012155211,0.17070813714543925,0.705535878591469
4,TWO_KEY,0.17989795783050352,0.36893100380853605,0.2804629012155211,0.17070813714543925,0.8013194096357402
5,RANK,0.4985102216039646,0.07913752448848342,0.18200371461787174,0.24034853928968042,0.6767100292616715
5,PERCENT,0.4985102216039646,0.07913752448848342,0.18200371461787174,0.24034853928968042,0.6381507778235314
5,SAVE,0.4985102216039646,0.07913752448848342,0.18200371461787174,0.24034853928968042,0.6619872357219888
5,TWO_KEY,0.4985102216039646,0.07913752448848342,0.18200371461787174,0.24034853928968042,0.6710900388340356
6,RANK,0.19696197863740605,0.4974505900050203,0.07204466586156737,0.23354276549600633,0.7633059035676761
6,PERCENT,0.19696197863740605,0.4974505900050203,0.07204466586156737,0.23354276549600633,0.8569839998919762
6,SAVE,0.19696197863740605,0.4974505900050203,0.07204466586156737,0.23354276549600633,0.694490169945974
6,TWO_KEY,0.19696197863740605,0.4974505900050203,0.07204466586156737,0.23354276549600633,0.7706699926442225
7,RANK,0.4341302370059204,0.023007015871214526,0.45242808900381737,0.09043465811904772,0.6329504889684076
7,PERCENT,0.4341302370059204,0.023007015871214526,0.45242808900381737,0.09043465811904772,0.5781462444793213
7,SAVE,0.4341302370059204,0.023007015871214526,0.45242808900381737,0.09043465811904772,0.6828156263307763
7,TWO_KEY,0.4341302370059204,0.023007015871214526,0.45242808900381737,0.09043465811904772,0.7417657276048801
