season,week,celebrity_name,ballroom_partner,industry,country,age,placement,judge_total,fan_vote_share,judge_rank,fan_rank,n_contestants_week,judge_improvement,judge_volatility,season_competitiveness,pro_experience_seasons,pro_win_rate,pro_avg_placement,pro_current_form,pro_celebrity_chemistry,pro_concurrent_strength,age_z,age_sq,industry_physicality,celebrity_visibility,is_us_based,pre_show_popularity,interact_exp_physicality,interact_winrate_visibility,interact_week_age
1,1,John O'Hurley,Charlotte Jorgensen,Actor/Actress,United States,50,2,20.0,0.1780307660075214,2.0,4.0,6.0,0.0,0.0,4.234519317012717,0,0.0,6.0,20.0,1.0,0.0,1.0657436297943557,1.1358094844472486,2,0.08333333333333333,1,2.0,0,0.0,1.0657436297943557
1,2,John O'Hurley,Charlotte Jorgensen,Actor/Actress,United States,50,2,26.0,0.1780285430383976,1.0,2.0,6.0,0.29999998500000075,4.242640687119285,4.234519317012717,0,0.0,6.0,23.0,1.0,0.0,1.0657436297943557,1.1358094844472486,2,0.08333333333333333,1,2.0,0,0.0,2.1314872595887113
1,3,John O'Hurley,Charlotte Jorgensen,Actor/Actress,United States,50,2,24.0,0.1975302780754232,2.0,2.0,5.0,0.1999999900000005,3.0550504633038935,4.234519317012717,0,0.0,6.0,23.333333333333332,1.0,0.0,1.0657436297943557,1.1358094844472486,2,0.08333333333333333,1,2.0,0,0.0,3.197230889383067
1,4,John O'Hurley,Charlotte Jorgensen,Actor/Actress,United States,50,2,21.0,0.2263482471636707,3.0,3.0,4.0,0.04999999750000012,2.5166114784235845,4.234519317012717,0,0.0,6.0,23.666666666666668,1.0,0.0,1.0657436297943557,1.1358094844472486,2,0.08333333333333333,1,2.0,0,0.0,4.262974519177423
1,5,John O'Hurley,Charlotte Jorgensen,Actor/Actress,United States,50,2,27.0,0.3311194720932308,1.0,2.0,3.0,0.34999998250000086,3.0000000000000013,4.234519317012717,0,0.0,6.0,24.0,1.0,0.0,1.0657436297943557,1.1358094844472486,2,0.08333333333333333,1,2.0,0,0.0,5.328718148971778
1,6,John O'Hurley,Charlotte Jorgensen,Actor/Actress,United States,50,2,27.0,0.4318888629199538,2.0,2.0,2.0,0.34999998250000086,3.4641016151377557,4.234519317012717,0,0.0,6.0,25.0,1.0,0.0,1.0657436297943557,1.1358094844472486,2,0.08333333333333333,1,2.0,0,0.0,6.394461778766134
1,1,Kelly Monaco,Alec Mazo,Actor/Actress,United States,29,1,13.0,0.1717229737394882,6.0,5.0,6.0,0.0,0.0,4.234519317012717,0,0.0,6.0,13.0,0.2,0.0,-0.5657723900176211,0.3200983973062512,2,0.08333333333333333,1,-1.0,0,0.0,-0.5657723900176211
1,2,Kelly Monaco,Alec Mazo,Actor/Actress,United States,29,1,17.0,0.1878461326872407,5.0,1.0,6.0,0.3076922840236705,2.8284271247461903,4.234519317012717,0,0.0,6.0,15.0,0.2,0.0,-0.5657723900176211,0.3200983973062512,2,0.08333333333333333,1,-1.0,0,0.0,-1.1315447800352423
1,3,Kelly Monaco,Alec Mazo,Actor/Actress,United States,29,1,21.0,0.2486754941108149,4.0,1.0,5.0,0.615384568047341,4.0,4.234519317012717,0,0.0,6.0,17.0,0.2,0.0,-0.5657723900176211,0.3200983973062512,2,0.08333333333333333,1,-1.0,0,0.0,-1.6973171700528633
1,4,Kelly Monaco,Alec Mazo,Actor/Actress,United States,29,1,26.0,0.3194292652632569,1.0,1.0,4.0,0.9999999230769291,4.509249752822894,4.234519317012717,0,0.0,6.0,21.333333333333332,0.2,0.0,-0.5657723900176211,0.3200983973062512,2,0.08333333333333333,1,-1.0,0,0.0,-2.2630895600704846
1,5,Kelly Monaco,Alec Mazo,Actor/Actress,United States,29,1,23.5,0.4599273528244255,2.0,1.0,3.0,0.807692245562135,2.5000000000000013,4.234519317012717,0,0.0,6.0,23.5,0.2,0.0,-0.5657723900176211,0.3200983973062512,2,0.08333333333333333,1,-1.0,0,0.0,-2.828861950088106
1,6,Kelly Monaco,Alec Mazo,Actor/Actress,United States,29,1,27.5,0.5681111370800462,1.0,1.0,2.0,1.1153845295858056,2.0207259421636916,4.234519317012717,0,0.0,6.0,25.666666666666668,0.2,0.0,-0.5657723900176211,0.3200983973062512,2,0.08333333333333333,1,-1.0,0,0.0,-3.3946343401057266
1,1,Evander Holyfield,Edyta Sliwinska,Athlete,United States,42,5,18.0,0.1885300180858824,4.5,2.0,6.0,0.0,0.0,4.234519317012717,0,0.0,6.0,18.0,0.2727272727272727,0.0,0.44421371748503113,0.19732582680187105,3,0.3333333333333333,1,-2.5,0,0.0,0.44421371748503113
1,2,Evander Holyfield,Edyta Sliwinska,Athlete,United States,42,5,14.0,0.1732403171534842,6.0,4.0,6.0,-0.2222222098765439,2.8284271247461903,4.234519317012717,0,0.0,6.0,16.0,0.2727272727272727,0.0,0.44421371748503113,0.19732582680187105,3,0.3333333333333333,1,-2.5,0,0.0,0.8884274349700623
