Season,Week,Contestant,MAP_FanShare,Mean,Std,CI_5%,CI_95%,CI_Width,Eliminated
33,1,Tori Spelling,0.0380,0.0790,0.0801,0.0025,0.2466,0.2441,No
33,1,Eric Roberts,0.1584,0.0715,0.0790,0.0011,0.2396,0.2385,No
33,1,Reginald VelJohnson,0.0976,0.0656,0.0751,0.0016,0.2270,0.2254,No
33,1,Chandler Kinney,0.0502,0.0842,0.0816,0.0030,0.2521,0.2491,No
33,1,Dwight Howard ,0.1032,0.0779,0.0784,0.0022,0.2274,0.2253,No
33,1,Danny Amendola,0.0859,0.0791,0.0803,0.0019,0.2373,0.2354,No
33,1,Stephen Nedoroscik,0.1833,0.0775,0.0785,0.0022,0.2416,0.2394,No
33,1,Ilona Maher,0.0568,0.0805,0.0819,0.0026,0.2541,0.2514,No
33,1,Anna Delvey,0.0415,0.0735,0.0793,0.0017,0.2367,0.2350,No
33,1,Brooks Nader,0.0647,0.0706,0.0793,0.0013,0.2357,0.2343,No
33,1,Phaedra Parks,0.0226,0.0732,0.0774,0.0016,0.2308,0.2291,No
33,1,Jenn Tran,0.0269,0.0864,0.0864,0.0031,0.2620,0.2588,No
33,1,Joey Graziadei,0.0709,0.0812,0.0818,0.0033,0.2537,0.2504,No
33,2,Tori Spelling,0.0542,0.0525,0.0051,0.0454,0.0627,0.0173,Yes
33,2,Eric Roberts,0.0990,0.0845,0.0108,0.0677,0.0988,0.0311,No
33,2,Reginald VelJohnson,0.0717,0.0715,0.0050,0.0648,0.0817,0.0168,No
33,2,Chandler Kinney,0.0666,0.0566,0.0079,0.0448,0.0701,0.0254,No
33,2,Dwight Howard ,0.0914,0.0729,0.0098,0.0601,0.0892,0.0290,No
33,2,Danny Amendola,0.0647,0.0629,0.0140,0.0394,0.0801,0.0407,No
33,2,Stephen Nedoroscik,0.0950,0.0857,0.0089,0.0725,0.0992,0.0267,No
33,2,Ilona Maher,0.1061,0.1037,0.0108,0.0868,0.1242,0.0374,No
33,2,Anna Delvey,0.0605,0.0597,0.0045,0.0499,0.0654,0.0155,Yes
33,2,Brooks Nader,0.0664,0.0695,0.0088,0.0583,0.0879,0.0296,No
33,2,Phaedra Parks,0.0657,0.0979,0.0163,0.0744,0.1246,0.0502,No
33,2,Jenn Tran,0.0545,0.0778,0.0152,0.0555,0.0999,0.0444,No
33,2,Joey Graziadei,0.1041,0.1046,0.0138,0.0829,0.1270,0.0441,No
33,3,Eric Roberts,0.0773,0.0652,0.0127,0.0403,0.0836,0.0433,Yes
33,3,Reginald VelJohnson,0.0816,0.0691,0.0130,0.0442,0.0872,0.0430,Yes
33,3,Chandler Kinney,0.0918,0.0807,0.0142,0.0614,0.1051,0.0437,No
33,3,Dwight Howard ,0.1022,0.1131,0.0123,0.0926,0.1351,0.0425,No
33,3,Danny Amendola,0.0721,0.0583,0.0071,0.0463,0.0691,0.0227,No
33,3,Stephen Nedoroscik,0.1040,0.0912,0.0130,0.0695,0.1114,0.0419,No
33,3,Ilona Maher,0.1027,0.0897,0.0142,0.0666,0.1092,0.0426,No
33,3,Brooks Nader,0.0576,0.0710,0.0153,0.0512,0.0991,0.0479,No
