Season,Week,Contestant,MAP_FanShare,Mean,Std,CI_5%,CI_95%,CI_Width,Eliminated
20,1,Suzanne Somers,0.0625,0.0707,0.0748,0.0018,0.2225,0.2207,No
20,1,Willow Shields,0.0006,0.0892,0.0882,0.0029,0.2663,0.2634,No
20,1,Riker Lynch,0.1502,0.0929,0.0877,0.0047,0.2760,0.2712,No
20,1,Rumer Willis,0.1596,0.0911,0.0865,0.0037,0.2618,0.2581,No
20,1,Nastia Liukin,0.1701,0.0840,0.0844,0.0028,0.2643,0.2615,No
20,1,Michael Sam,0.0540,0.0823,0.0852,0.0032,0.2623,0.2591,No
20,1,Robert Herjavec,0.0318,0.0659,0.0762,0.0009,0.2294,0.2285,No
20,1,Charlotte McKinney,0.0262,0.0776,0.0809,0.0020,0.2537,0.2517,No
20,1,Noah Galloway,0.0983,0.0725,0.0740,0.0018,0.2229,0.2211,No
20,1,Redfoo,0.0543,0.1010,0.0904,0.0052,0.2805,0.2753,No
20,1,Patti LaBelle,0.0720,0.0832,0.0851,0.0032,0.2552,0.2520,No
20,1,Chris Soules,0.1205,0.0895,0.0892,0.0029,0.2692,0.2663,No
20,2,Suzanne Somers,0.0934,0.1042,0.0127,0.0800,0.1230,0.0430,No
20,2,Willow Shields,0.0644,0.0944,0.0181,0.0631,0.1173,0.0542,No
20,2,Riker Lynch,0.0984,0.0789,0.0108,0.0616,0.0979,0.0363,No
20,2,Rumer Willis,0.1099,0.1132,0.0072,0.1014,0.1251,0.0237,No
20,2,Nastia Liukin,0.1043,0.0802,0.0194,0.0540,0.1055,0.0515,No
20,2,Michael Sam,0.0736,0.0707,0.0077,0.0586,0.0826,0.0240,No
20,2,Robert Herjavec,0.0767,0.0786,0.0066,0.0671,0.0883,0.0213,No
20,2,Charlotte McKinney,0.0755,0.0821,0.0071,0.0721,0.0941,0.0220,No
20,2,Noah Galloway,0.0852,0.0888,0.0120,0.0662,0.1065,0.0403,No
20,2,Redfoo,0.0526,0.0490,0.0043,0.0422,0.0561,0.0139,Yes
20,2,Patti LaBelle,0.0720,0.0753,0.0078,0.0633,0.0882,0.0249,No
20,2,Chris Soules,0.0939,0.0847,0.0072,0.0751,0.0993,0.0241,No
20,3,Suzanne Somers,0.0894,0.0898,0.0108,0.0748,0.1111,0.0363,No
20,3,Willow Shields,0.0747,0.0831,0.0096,0.0691,0.0994,0.0303,No
20,3,Riker Lynch,0.1058,0.0945,0.0095,0.0765,0.1079,0.0314,No
20,3,Rumer Willis,0.0995,0.1040,0.0117,0.0806,0.1204,0.0398,No
20,3,Nastia Liukin,0.1185,0.0879,0.0172,0.0636,0.1151,0.0515,No
20,3,Michael Sam,0.0908,0.1051,0.0194,0.0700,0.1388,0.0688,No
20,3,Robert Herjavec,0.0739,0.0800,0.0105,0.0644,0.0999,0.0354,No
20,3,Charlotte McKinney,0.0626,0.0700,0.0120,0.0510,0.0877,0.0367,Yes
20,3,Noah Galloway,0.1103,0.0943,0.0204,0.0672,0.1321,0.0649,No
20,3,Patti LaBelle,0.0776,0.0975,0.0180,0.0674,0.1288,0.0614,No
