Season,Week,Contestant,MAP_FanShare,Mean,Std,CI_5%,CI_95%,CI_Width,Eliminated
11,1,David Hasselhoff,0.0627,0.0634,0.0068,0.0529,0.0769,0.0240,Yes
11,1,Florence Henderson,0.0766,0.0679,0.0078,0.0562,0.0809,0.0247,No
11,1,Kyle Massey,0.0911,0.0907,0.0076,0.0789,0.1039,0.0250,No
11,1,Jennifer Grey,0.0819,0.0772,0.0079,0.0652,0.0927,0.0275,No
11,1,Rick Fox,0.1129,0.0885,0.0160,0.0673,0.1182,0.0509,No
11,1,Kurt Warner,0.0866,0.0892,0.0169,0.0555,0.1136,0.0580,No
11,1,Margaret Cho,0.0837,0.0753,0.0116,0.0590,0.1019,0.0429,No
11,1,Michael Bolton,0.0823,0.0917,0.0137,0.0638,0.1112,0.0474,No
11,1,Brandy,0.0683,0.0796,0.0104,0.0624,0.0958,0.0333,No
11,1,The Situation,0.0863,0.1053,0.0148,0.0752,0.1291,0.0540,No
11,1,Audrina Patridge,0.0802,0.0949,0.0079,0.0814,0.1077,0.0263,No
11,1,Bristol Palin,0.0874,0.0764,0.0109,0.0605,0.0962,0.0357,No
11,2,Florence Henderson,0.0842,0.1170,0.0224,0.0839,0.1619,0.0780,No
11,2,Kyle Massey,0.0834,0.0720,0.0106,0.0520,0.0892,0.0372,No
11,2,Jennifer Grey,0.1093,0.0865,0.0151,0.0677,0.1137,0.0460,No
11,2,Rick Fox,0.1087,0.0911,0.0157,0.0625,0.1153,0.0528,No
11,2,Kurt Warner,0.0880,0.1038,0.0112,0.0842,0.1221,0.0379,No
11,2,Margaret Cho,0.0895,0.0933,0.0135,0.0708,0.1162,0.0454,No
11,2,Michael Bolton,0.0840,0.0873,0.0095,0.0726,0.1048,0.0322,Yes
11,2,Brandy,0.0919,0.0877,0.0123,0.0708,0.1110,0.0402,No
11,2,The Situation,0.0890,0.0841,0.0128,0.0626,0.1060,0.0434,No
11,2,Audrina Patridge,0.0852,0.0757,0.0104,0.0598,0.0926,0.0328,No
11,2,Bristol Palin,0.0868,0.1016,0.0156,0.0774,0.1250,0.0476,No
11,3,Florence Henderson,0.1063,0.1081,0.0098,0.0926,0.1237,0.0311,No
11,3,Kyle Massey,0.1027,0.0960,0.0116,0.0795,0.1148,0.0354,No
11,3,Jennifer Grey,0.1228,0.1021,0.0149,0.0801,0.1235,0.0435,No
11,3,Rick Fox,0.1116,0.0879,0.0142,0.0684,0.1178,0.0494,No
11,3,Kurt Warner,0.1073,0.0987,0.0115,0.0817,0.1174,0.0356,No
11,3,Margaret Cho,0.0838,0.0802,0.0128,0.0587,0.1027,0.0440,Yes
11,3,Brandy,0.0942,0.1378,0.0302,0.0922,0.1843,0.0921,No
11,3,The Situation,0.1001,0.0978,0.0143,0.0783,0.1236,0.0453,No
11,3,Audrina Patridge,0.0844,0.0950,0.0126,0.0760,0.1162,0.0402,No
11,3,Bristol Palin,0.0867,0.0964,0.0174,0.0670,0.1274,0.0605,No
11,4,Florence Henderson,0.1140,0.1192,0.0133,0.0984,0.1432,0.0448,No
11,4,Kyle Massey,0.1089,0.1125,0.0125,0.0949,0.1361,0.0412,No
11,4,Jennifer Grey,0.1428,0.1259,0.0159,0.1008,0.1523,0.0515,No
11,4,Rick Fox,0.1091,0.1119,0.0128,0.0932,0.1361,0.0429,No
11,4,Kurt Warner,0.1029,0.1142,0.0126,0.0963,0.1376,0.0414,No
11,4,Brandy,0.1270,0.1089,0.0189,0.0864,0.1457,0.0594,No
