Season,Week,Contestant,MAP_FanShare,Mean,Std,CI_5%,CI_95%,CI_Width,Eliminated
2,1,Tatum O'Neal,0.1027,0.1199,0.0137,0.1014,0.1434,0.0420,No
2,1,Tia Carrere,0.0943,0.0955,0.0118,0.0745,0.1134,0.0389,No
2,1,George Hamilton,0.1272,0.1094,0.0127,0.0911,0.1320,0.0409,No
2,1,Lisa Rinna,0.0874,0.0943,0.0108,0.0752,0.1117,0.0365,No
2,1,Stacy Keibler,0.0931,0.0961,0.0118,0.0799,0.1195,0.0396,No
2,1,Jerry Rice,0.1189,0.0897,0.0163,0.0638,0.1151,0.0513,No
2,1,Giselle Fernandez,0.1097,0.0987,0.0141,0.0764,0.1261,0.0497,No
2,1,Master P,0.0902,0.1097,0.0177,0.0834,0.1402,0.0568,No
2,1,Drew Lachey,0.1018,0.1023,0.0150,0.0790,0.1224,0.0434,No
2,1,Kenny Mayne,0.0747,0.0845,0.0094,0.0674,0.1000,0.0326,Yes
2,2,Tatum O'Neal,0.0923,0.0962,0.0099,0.0781,0.1112,0.0331,Yes
2,2,Tia Carrere,0.1113,0.1111,0.0226,0.0741,0.1470,0.0729,No
2,2,George Hamilton,0.1370,0.1073,0.0201,0.0806,0.1427,0.0621,No
2,2,Lisa Rinna,0.1066,0.1134,0.0144,0.0873,0.1363,0.0490,No
2,2,Stacy Keibler,0.1026,0.1039,0.0171,0.0838,0.1376,0.0538,No
2,2,Jerry Rice,0.1228,0.0997,0.0136,0.0744,0.1232,0.0488,No
2,2,Giselle Fernandez,0.1079,0.1209,0.0159,0.0961,0.1468,0.0506,No
2,2,Master P,0.0966,0.1245,0.0125,0.1042,0.1442,0.0400,No
2,2,Drew Lachey,0.1229,0.1231,0.0212,0.0818,0.1492,0.0674,No
2,3,Tia Carrere,0.1195,0.1195,0.0163,0.0907,0.1481,0.0574,No
2,3,George Hamilton,0.1365,0.1089,0.0141,0.0815,0.1334,0.0519,No
2,3,Lisa Rinna,0.1168,0.1306,0.0132,0.1124,0.1557,0.0433,No
2,3,Stacy Keibler,0.1278,0.1412,0.0207,0.1114,0.1788,0.0674,No
2,3,Jerry Rice,0.1417,0.1309,0.0174,0.1077,0.1660,0.0583,No
2,3,Giselle Fernandez,0.0951,0.0992,0.0110,0.0793,0.1158,0.0364,Yes
2,3,Master P,0.1189,0.1482,0.0251,0.1139,0.1969,0.0831,No
2,3,Drew Lachey,0.1438,0.1215,0.0183,0.0924,0.1509,0.0585,No
2,4,Tia Carrere,0.1314,0.1527,0.0175,0.1284,0.1836,0.0552,No
2,4,George Hamilton,0.1416,0.1433,0.0200,0.1120,0.1740,0.0620,No
2,4,Lisa Rinna,0.1204,0.1460,0.0193,0.1134,0.1766,0.0632,No
2,4,Stacy Keibler,0.1695,0.1625,0.0323,0.1047,0.2052,0.1006,No
2,4,Jerry Rice,0.1603,0.1386,0.0262,0.1013,0.1809,0.0796,No
2,4,Master P,0.1287,0.1169,0.0134,0.0948,0.1369,0.0420,Yes
2,4,Drew Lachey,0.1481,0.1400,0.0176,0.1079,0.1702,0.0622,No
2,5,Tia Carrere,0.1396,0.1484,0.0179,0.1178,0.1758,0.0579,Yes
2,5,George Hamilton,0.1543,0.1611,0.0261,0.1217,0.2065,0.0848,No
2,5,Lisa Rinna,0.1573,0.1793,0.0190,0.1493,0.2139,0.0646,No
2,5,Stacy Keibler,0.1823,0.1655,0.0193,0.1335,0.1966,0.0631,No
2,5,Jerry Rice,0.1713,0.1729,0.0203,0.1401,0.2061,0.0660,No
2,5,Drew Lachey,0.1952,0.1727,0.0236,0.1295,0.2079,0.0784,No
2,6,George Hamilton,0.1571,0.1767,0.0153,0.1487,0.1993,0.0506,Yes
2,6,Lisa Rinna,0.1812,0.2089,0.0232,0.1731,0.2477,0.0746,No
2,6,Stacy Keibler,0.2189,0.2092,0.0307,0.1588,0.2629,0.1041,No
2,6,Jerry Rice,0.2204,0.2107,0.0215,0.1815,0.2525,0.0710,No
2,6,Drew Lachey,0.2223,0.1944,0.0322,0.1389,0.2517,0.1129,No
2,7,Lisa Rinna,0.1977,0.2284,0.0205,0.1965,0.2633,0.0668,Yes
2,7,Stacy Keibler,0.2522,0.2451,0.0363,0.1823,0.3086,0.1263,No
2,7,Jerry Rice,0.2874,0.2806,0.0268,0.2387,0.3265,0.0879,No
2,7,Drew Lachey,0.2628,0.2459,0.0358,0.1836,0.3093,0.1257,No
2,8,Stacy Keibler,0.3247,0.3164,0.1360,0.1172,0.5574,0.4401,No
2,8,Jerry Rice,0.3632,0.2957,0.1370,0.0951,0.5429,0.4478,No
2,8,Drew Lachey,0.3121,0.3879,0.1452,0.1602,0.6479,0.4877,No
