season,week,d_rank_percent,ffi_rank,ffi_percent,elim_agree,elim_rank,elim_percent
1,2,0.17774830668225516,0.0716114874039433,-0.2,True,John O'Hurley,John O'Hurley
1,3,0.13106760631368908,0.10540925533894596,0.2,False,John O'Hurley,Kelly Monaco
1,4,0.14644660940672616,0.0,-0.5,True,Kelly Monaco,Kelly Monaco
2,1,0.09548008252205475,0.05402479805470389,-0.058317727347633186,True,Stacy Keibler,Stacy Keibler
2,2,0.14785239386311805,0.039859992253557686,-0.2684202420903758,False,George Hamilton,Stacy Keibler
2,3,0.11811869208701331,0.02744567206366133,-0.22776751547340773,True,Tia Carrere,Tia Carrere
2,4,0.10963997082058674,-0.13343497446801333,0.014401875582491563,True,Drew Lachey,Drew Lachey
2,5,0.016954108460352058,0.06900655593423549,0.1333333333333333,True,Stacy Keibler,Stacy Keibler
2,6,5.551115123125783e-17,-0.035410196624968415,-0.035410196624968415,True,Drew Lachey,Drew Lachey
2,7,0.0,-0.10719461208591635,-0.10719461208591635,True,Drew Lachey,Drew Lachey
3,1,0.04126509786401644,-0.012134340621605233,-0.030289129537908133,True,Mario Lopez,Mario Lopez
3,2,0.079436823993208,-0.030856625367475243,0.10634656674567439,False,Emmitt Smith,Mario Lopez
3,3,0.23236781933596978,0.0012201740944086104,-0.1456143941362506,False,Willa Ford,Vivica A. Fox
3,4,0.11811869208701331,0.08244264263842488,-0.17633049761406328,False,Emmitt Smith,Mario Lopez
3,5,0.10963997082058674,0.023843584784321414,0.28811953605794394,True,Monique Coleman,Monique Coleman
3,7,0.10000000000000003,0.04188611699158096,0.247295372330527,True,Mario Lopez,Mario Lopez
3,8,0.16666666666666657,-0.12310213125430503,0.2261387212474169,False,Mario Lopez,Emmitt Smith
4,2,0.07272727272727275,0.08847410120002092,-0.062103065943404034,False,Ian Ziering,Laila Ali
4,3,0.07300675377328003,-0.013963193636315485,0.05679395755557426,False,Leeza Gibbons,Laila Ali
4,4,0.06333696839026642,-0.006942317979210855,-0.03502565549154102,True,Joey Fatone,Joey Fatone
4,5,0.09231287583639436,0.03706246583305506,-0.10714285714285715,True,Laila Ali,Laila Ali
4,6,0.06084496717316007,-0.034639970820586674,0.014401875582491563,True,Laila Ali,Laila Ali
4,7,0.016954108460352058,0.11753960894097204,0.1826931274195318,True,Laila Ali,Laila Ali
4,8,5.551115123125783e-17,0.0,0.0,True,Apolo Anton Ohno,Apolo Anton Ohno
4,9,0.16666666666666657,-0.12310213125430503,0.2261387212474169,True,Joey Fatone,Joey Fatone
5,1,0.08456621794475205,-0.022412265691663158,0.16842493685379062,False,Helio Castroneves,Jennie Garth
5,2,0.052363107107124274,0.01838394179248931,0.036315542373477006,False,Jane Seymour,Helio Castroneves
5,3,0.02806009627573053,0.0074828046880133225,-0.06085565281428207,True,Jane Seymour,Jane Seymour
5,4,0.042670439619976464,0.06938059038821842,0.12563262291523164,False,Jane Seymour,Sabrina Bryan
5,5,0.22722763720500955,-0.19489097646879444,0.20889299381063686,True,Mel B,Mel B
5,6,0.04761904761904756,0.014401875582491563,0.1108159268489658,True,Mel B,Mel B
5,7,0.13333333333333336,0.021633886995489515,0.29298033219729364,False,Mel B,Marie Osmond
