Season,Week,Contestant,MAP_FanShare,Mean,Std,CI_5%,CI_95%,CI_Width,Eliminated
27,1,Juan Pablo Di Pace,0.1012,0.0982,0.0065,0.0853,0.1082,0.0229,No
27,1,Evanna Lynch,0.0834,0.0865,0.0069,0.0741,0.0969,0.0227,No
27,1,Nancy McKeon,0.0769,0.0769,0.0044,0.0697,0.0832,0.0135,No
27,1,John Schneider,0.0649,0.0633,0.0063,0.0558,0.0746,0.0188,No
27,1,Milo Manheim,0.0747,0.0834,0.0078,0.0722,0.0993,0.0271,No
27,1,Danelle Umstead,0.0750,0.0774,0.0057,0.0692,0.0880,0.0188,No
27,1,Mary Lou Retton,0.0797,0.0764,0.0150,0.0496,0.0960,0.0464,No
27,1,DeMarcus Ware,0.0570,0.0641,0.0073,0.0552,0.0771,0.0220,No
27,1,Nikki Glaser,0.0526,0.0511,0.0060,0.0419,0.0596,0.0177,Yes
27,1,Bobby Bones,0.0769,0.0755,0.0057,0.0664,0.0848,0.0184,No
27,1,Tinashe,0.0690,0.0678,0.0134,0.0499,0.0953,0.0454,No
27,1,Alexis Ren,0.0915,0.0868,0.0102,0.0736,0.1033,0.0297,No
27,1,Joe Amabile,0.0971,0.0926,0.0159,0.0625,0.1105,0.0480,No
27,2,Juan Pablo Di Pace,0.1023,0.0867,0.0075,0.0763,0.1024,0.0261,No
27,2,Evanna Lynch,0.0786,0.0635,0.0078,0.0540,0.0782,0.0242,No
27,2,Nancy McKeon,0.0698,0.0747,0.0069,0.0644,0.0864,0.0220,No
27,2,John Schneider,0.0856,0.0804,0.0086,0.0688,0.0940,0.0252,No
27,2,Milo Manheim,0.0837,0.0845,0.0120,0.0584,0.1008,0.0424,No
27,2,Danelle Umstead,0.0685,0.0653,0.0059,0.0560,0.0742,0.0181,Yes
27,2,Mary Lou Retton,0.0799,0.0823,0.0062,0.0719,0.0920,0.0200,No
27,2,DeMarcus Ware,0.0549,0.0703,0.0117,0.0516,0.0873,0.0357,No
27,2,Bobby Bones,0.0740,0.0759,0.0054,0.0670,0.0839,0.0169,No
27,2,Tinashe,0.0883,0.1060,0.0148,0.0793,0.1267,0.0474,No
27,2,Alexis Ren,0.0908,0.0892,0.0082,0.0756,0.1030,0.0274,No
27,2,Joe Amabile,0.1235,0.1211,0.0087,0.1096,0.1367,0.0271,No
27,3,Juan Pablo Di Pace,0.0642,0.0618,0.0077,0.0511,0.0758,0.0247,No
27,3,Evanna Lynch,0.1062,0.0974,0.0129,0.0742,0.1129,0.0387,No
27,3,Nancy McKeon,0.0777,0.0650,0.0070,0.0542,0.0765,0.0223,Yes
27,3,John Schneider,0.0996,0.0938,0.0158,0.0676,0.1131,0.0455,No
27,3,Milo Manheim,0.0805,0.0945,0.0150,0.0780,0.1218,0.0438,No
27,3,Mary Lou Retton,0.1077,0.0954,0.0149,0.0711,0.1163,0.0452,No
27,3,DeMarcus Ware,0.0784,0.0898,0.0094,0.0757,0.1034,0.0277,No
27,3,Bobby Bones,0.0767,0.0814,0.0052,0.0731,0.0900,0.0169,No
27,3,Tinashe,0.0946,0.1034,0.0072,0.0927,0.1151,0.0225,No
27,3,Alexis Ren,0.0965,0.1022,0.0080,0.0841,0.1136,0.0295,No
27,3,Joe Amabile,0.1179,0.1153,0.0219,0.0848,0.1512,0.0664,No
27,4,Juan Pablo Di Pace,0.1124,0.1074,0.0130,0.0805,0.1241,0.0436,No
27,4,Evanna Lynch,0.1227,0.1223,0.0065,0.1130,0.1318,0.0188,No
27,4,John Schneider,0.1161,0.1041,0.0069,0.0916,0.1140,0.0224,No
27,4,Milo Manheim,0.0574,0.0739,0.0089,0.0553,0.0854,0.0301,No
