Season,Week,Contestant,MAP_FanShare,Mean,Std,CI_5%,CI_95%,CI_Width,Eliminated
30,1,Martin Kove,0.1290,0.0657,0.0751,0.0006,0.2344,0.2338,No
30,1,Brian Austin Green,0.0691,0.0645,0.0733,0.0010,0.2060,0.2050,No
30,1,Melora Hardin,0.0014,0.0709,0.0831,0.0009,0.2381,0.2372,No
30,1,Matt James,0.0769,0.0615,0.0676,0.0011,0.2016,0.2005,No
30,1,"Mike ""The Miz"" Mizanin",0.1518,0.0693,0.0792,0.0012,0.2443,0.2431,No
30,1,Suni Lee,0.0725,0.0597,0.0740,0.0006,0.2083,0.2077,No
30,1,Iman Shumpert,0.0490,0.0687,0.0797,0.0010,0.2315,0.2306,No
30,1,Cody Rigsby,0.0172,0.0668,0.0784,0.0006,0.2194,0.2188,No
30,1,Melanie C,0.0024,0.0682,0.0820,0.0017,0.2319,0.2302,No
30,1,Jimmie Allen,0.0234,0.0751,0.0758,0.0021,0.2387,0.2367,No
30,1,Olivia Jade,0.1699,0.0698,0.0752,0.0023,0.2222,0.2199,No
30,1,JoJo Siwa,0.0467,0.0649,0.0756,0.0008,0.2145,0.2137,No
30,1,Christine Chiu,0.0991,0.0647,0.0708,0.0019,0.2256,0.2237,No
30,1,Kenya Moore,0.0634,0.0635,0.0814,0.0010,0.2557,0.2548,No
30,1,Amanda Kloots,0.0282,0.0668,0.0698,0.0013,0.1948,0.1935,No
30,2,Martin Kove,0.0560,0.0492,0.0056,0.0402,0.0572,0.0170,Yes
30,2,Brian Austin Green,0.0850,0.0847,0.0042,0.0799,0.0928,0.0129,No
30,2,Melora Hardin,0.0633,0.0620,0.0060,0.0503,0.0696,0.0192,No
30,2,Matt James,0.0620,0.0582,0.0047,0.0506,0.0652,0.0147,No
30,2,"Mike ""The Miz"" Mizanin",0.0711,0.0612,0.0119,0.0418,0.0754,0.0336,No
30,2,Suni Lee,0.0548,0.0537,0.0044,0.0468,0.0616,0.0148,No
30,2,Iman Shumpert,0.0595,0.0660,0.0084,0.0551,0.0848,0.0297,No
30,2,Cody Rigsby,0.0671,0.0663,0.0038,0.0600,0.0726,0.0126,No
30,2,Melanie C,0.0577,0.0683,0.0082,0.0548,0.0786,0.0238,No
30,2,Jimmie Allen,0.0638,0.0598,0.0082,0.0462,0.0734,0.0271,No
30,2,Olivia Jade,0.0816,0.0783,0.0074,0.0654,0.0931,0.0277,No
30,2,JoJo Siwa,0.0685,0.0732,0.0052,0.0634,0.0808,0.0174,No
30,2,Christine Chiu,0.0897,0.0876,0.0082,0.0726,0.1003,0.0276,No
30,2,Kenya Moore,0.0627,0.0633,0.0060,0.0528,0.0706,0.0178,No
30,2,Amanda Kloots,0.0573,0.0681,0.0061,0.0572,0.0781,0.0210,No
30,3,Brian Austin Green,0.0753,0.0650,0.0061,0.0539,0.0744,0.0205,No
30,3,Melora Hardin,0.0592,0.0687,0.0057,0.0597,0.0773,0.0176,No
30,3,Matt James,0.0598,0.0605,0.0043,0.0550,0.0702,0.0153,No
30,3,"Mike ""The Miz"" Mizanin",0.0823,0.0662,0.0107,0.0524,0.0841,0.0316,No
30,3,Suni Lee,0.0572,0.0635,0.0081,0.0543,0.0772,0.0229,No
30,3,Iman Shumpert,0.0732,0.0930,0.0132,0.0731,0.1084,0.0353,No
30,3,Cody Rigsby,0.0736,0.0674,0.0024,0.0636,0.0715,0.0079,No
30,3,Melanie C,0.1575,0.1656,0.0050,0.1580,0.1756,0.0176,No
30,3,Jimmie Allen,0.0761,0.0711,0.0062,0.0627,0.0813,0.0186,No
30,3,Olivia Jade,0.0615,0.0553,0.0090,0.0389,0.0658,0.0269,No
30,3,JoJo Siwa,0.0553,0.0567,0.0066,0.0446,0.0678,0.0232,No
30,3,Christine Chiu,0.0541,0.0419,0.0073,0.0301,0.0533,0.0233,Yes
