Season,Week,Contestant,MAP_FanShare,Mean,Std,CI_5%,CI_95%,CI_Width,Eliminated
33,1,Tori Spelling,0.0179,0.0697,0.0730,0.0018,0.2190,0.2172,No
33,1,Eric Roberts,0.0877,0.0751,0.0781,0.0009,0.2418,0.2409,No
33,1,Reginald VelJohnson,0.1689,0.0658,0.0752,0.0010,0.2134,0.2124,No
33,1,Chandler Kinney,0.0150,0.0882,0.0845,0.0041,0.2593,0.2552,No
33,1,Dwight Howard ,0.0029,0.0840,0.0866,0.0036,0.2620,0.2583,No
33,1,Danny Amendola,0.1385,0.0737,0.0779,0.0017,0.2369,0.2352,No
33,1,Stephen Nedoroscik,0.0652,0.0836,0.0865,0.0026,0.2641,0.2615,No
33,1,Ilona Maher,0.0790,0.0800,0.0807,0.0018,0.2457,0.2440,No
33,1,Anna Delvey,0.1254,0.0719,0.0822,0.0022,0.2565,0.2543,No
33,1,Brooks Nader,0.0962,0.0696,0.0741,0.0010,0.2124,0.2113,No
33,1,Phaedra Parks,0.0806,0.0744,0.0786,0.0020,0.2295,0.2274,No
33,1,Jenn Tran,0.0689,0.0802,0.0828,0.0025,0.2211,0.2187,No
33,1,Joey Graziadei,0.0539,0.0839,0.0848,0.0022,0.2585,0.2563,No
33,2,Tori Spelling,0.0503,0.0552,0.0021,0.0512,0.0579,0.0068,Yes
33,2,Eric Roberts,0.0713,0.0705,0.0024,0.0661,0.0737,0.0076,No
33,2,Reginald VelJohnson,0.1656,0.1844,0.0092,0.1642,0.1951,0.0309,No
33,2,Chandler Kinney,0.0433,0.0499,0.0027,0.0458,0.0536,0.0079,No
33,2,Dwight Howard ,0.0791,0.0785,0.0047,0.0709,0.0864,0.0155,No
33,2,Danny Amendola,0.1032,0.1128,0.0051,0.1039,0.1205,0.0166,No
33,2,Stephen Nedoroscik,0.0712,0.0622,0.0036,0.0560,0.0671,0.0111,No
33,2,Ilona Maher,0.0932,0.0778,0.0067,0.0695,0.0915,0.0220,No
33,2,Anna Delvey,0.0612,0.0656,0.0030,0.0598,0.0703,0.0105,Yes
33,2,Brooks Nader,0.0809,0.0820,0.0062,0.0732,0.0922,0.0189,No
33,2,Phaedra Parks,0.0508,0.0462,0.0056,0.0373,0.0535,0.0162,No
33,2,Jenn Tran,0.0683,0.0729,0.0061,0.0650,0.0817,0.0168,No
33,2,Joey Graziadei,0.0617,0.0420,0.0083,0.0303,0.0590,0.0286,No
33,3,Eric Roberts,0.0531,0.0559,0.0068,0.0445,0.0648,0.0203,Yes
33,3,Reginald VelJohnson,0.0694,0.0658,0.0035,0.0604,0.0716,0.0112,Yes
33,3,Chandler Kinney,0.0918,0.0928,0.0058,0.0855,0.1034,0.0179,No
33,3,Dwight Howard ,0.0853,0.0836,0.0090,0.0716,0.1013,0.0297,No
33,3,Danny Amendola,0.0695,0.0647,0.0092,0.0490,0.0757,0.0267,No
33,3,Stephen Nedoroscik,0.0760,0.0720,0.0126,0.0531,0.0921,0.0390,No
33,3,Ilona Maher,0.1190,0.1305,0.0101,0.1151,0.1455,0.0304,No
33,3,Brooks Nader,0.0990,0.0648,0.0190,0.0339,0.0939,0.0600,No
33,3,Phaedra Parks,0.0788,0.0741,0.0052,0.0667,0.0833,0.0166,No
33,3,Jenn Tran,0.1618,0.2059,0.0191,0.1685,0.2259,0.0574,No
33,3,Joey Graziadei,0.0961,0.0900,0.0107,0.0728,0.1118,0.0390,No
33,4,Chandler Kinney,0.1096,0.1195,0.0086,0.1033,0.1306,0.0273,No
33,4,Dwight Howard ,0.1182,0.1181,0.0105,0.1050,0.1373,0.0324,No
33,4,Danny Amendola,0.0975,0.0889,0.0071,0.0777,0.1016,0.0239,No
33,4,Stephen Nedoroscik,0.1237,0.1279,0.0117,0.1129,0.1476,0.0348,No
33,4,Ilona Maher,0.0823,0.0915,0.0103,0.0727,0.1060,0.0333,No
33,4,Brooks Nader,0.0868,0.0858,0.0088,0.0709,0.0972,0.0263,Yes
33,4,Phaedra Parks,0.1443,0.1550,0.0150,0.1318,0.1768,0.0450,No
33,4,Jenn Tran,0.1155,0.1092,0.0081,0.0981,0.1245,0.0263,No
33,4,Joey Graziadei,0.1221,0.1042,0.0181,0.0737,0.1361,0.0624,No
33,5,Chandler Kinney,0.1341,0.1133,0.0111,0.0916,0.1295,0.0379,No
33,5,Dwight Howard ,0.1327,0.1172,0.0155,0.0916,0.1433,0.0516,No
33,5,Danny Amendola,0.1282,0.1272,0.0182,0.0933,0.1525,0.0592,No
33,5,Stephen Nedoroscik,0.1085,0.1235,0.0251,0.0958,0.1742,0.0784,No
33,5,Ilona Maher,0.1213,0.1155,0.0086,0.0988,0.1276,0.0288,No
33,5,Phaedra Parks,0.1139,0.1048,0.0060,0.0948,0.1142,0.0195,Yes
33,5,Jenn Tran,0.1170,0.1294,0.0102,0.1136,0.1476,0.0340,No
33,5,Joey Graziadei,0.1444,0.1691,0.0134,0.1506,0.1919,0.0413,No
33,6,Chandler Kinney,0.1394,0.1284,0.0129,0.1086,0.1498,0.0412,No
33,6,Dwight Howard ,0.1174,0.1177,0.0116,0.0993,0.1413,0.0420,No
33,6,Danny Amendola,0.1556,0.2128,0.0287,0.1567,0.2536,0.0968,No
33,6,Stephen Nedoroscik,0.1398,0.1430,0.0128,0.1190,0.1652,0.0462,No
33,6,Ilona Maher,0.1848,0.1604,0.0214,0.1281,0.1931,0.0649,No
33,6,Jenn Tran,0.1266,0.1091,0.0084,0.0953,0.1249,0.0296,Yes
33,6,Joey Graziadei,0.1365,0.1287,0.0133,0.1055,0.1481,0.0426,No
33,7,Chandler Kinney,0.1817,0.1683,0.0147,0.1404,0.1904,0.0500,No
33,7,Dwight Howard ,0.1587,0.1460,0.0153,0.1153,0.1699,0.0546,Yes
33,7,Danny Amendola,0.1849,0.1647,0.0132,0.1424,0.1875,0.0451,No
33,7,Stephen Nedoroscik,0.1270,0.1605,0.0260,0.1249,0.2022,0.0774,No
33,7,Ilona Maher,0.2000,0.1967,0.0165,0.1654,0.2215,0.0561,No
33,7,Joey Graziadei,0.1476,0.1638,0.0123,0.1453,0.1871,0.0418,No
33,8,Chandler Kinney,0.2069,0.2153,0.1224,0.0466,0.4561,0.4095,No
33,8,Danny Amendola,0.2721,0.1906,0.1176,0.0316,0.4115,0.3799,No
33,8,Stephen Nedoroscik,0.0886,0.2031,0.1224,0.0379,0.4351,0.3972,No
33,8,Ilona Maher,0.3068,0.1903,0.1157,0.0385,0.4157,0.3771,No
33,8,Joey Graziadei,0.1257,0.2006,0.1219,0.0424,0.4369,0.3945,No
33,9,Chandler Kinney,0.2314,0.2213,0.1232,0.0538,0.4373,0.3835,No
33,9,Danny Amendola,0.2877,0.1983,0.1232,0.0371,0.4155,0.3783,No
33,9,Stephen Nedoroscik,0.0849,0.2030,0.1251,0.0428,0.4583,0.4155,No
33,9,Ilona Maher,0.2821,0.1843,0.1158,0.0476,0.4183,0.3707,No
33,9,Joey Graziadei,0.1139,0.1930,0.1218,0.0313,0.4213,0.3900,No
